date,city,temperature_celsius,relative_humidity_pct,heat_index_celsius
2005-04-04,Gilgit,9.36,42.0,9.36
2005-04-05,Gilgit,9.6,83.92,9.6
2005-04-06,Gilgit,12.52,86.03,12.52
2005-04-07,Gilgit,10.52,77.04,10.52
2005-04-08,Gilgit,9.57,71.74,9.57
2005-04-09,Gilgit,8.19,78.16,8.19
2005-04-10,Gilgit,7.5600000000000005,73.63,7.5600000000000005
2005-04-11,Gilgit,3.01,84.91,3.01
2005-04-12,Gilgit,6.49,67.05,6.49
2005-04-13,Gilgit,9.6,85.28,9.6
2005-04-14,Gilgit,12.01,83.69,12.01
2005-04-15,Gilgit,11.47,67.3,11.47
2005-04-16,Gilgit,7.3,59.41,7.3
2005-04-17,Gilgit,4.25,60.3,4.25
2005-04-18,Gilgit,6.3,33.11,6.3
2005-04-19,Gilgit,7.84,30.53,7.84
2005-04-20,Gilgit,11.29,45.02,11.29
2005-04-21,Gilgit,6.79,79.33,6.79
2005-04-22,Gilgit,9.09,58.73,9.09
2005-04-23,Gilgit,9.9,61.77,9.9
2005-04-24,Gilgit,10.0,68.62,10.0
2005-04-25,Gilgit,12.24,84.26,12.24
2005-04-26,Gilgit,12.54,90.27,12.54
2005-04-27,Gilgit,10.82,81.48,10.82
2005-04-28,Gilgit,8.0,80.72,8.0
2005-04-29,Gilgit,9.73,61.07,9.73
2005-04-30,Gilgit,11.63,48.79,11.63
2005-05-01,Gilgit,12.51,49.28,12.51
2005-05-02,Gilgit,13.379999999999999,50.02,13.379999999999999
2005-05-03,Gilgit,15.26,55.95,15.26
2005-05-04,Gilgit,14.22,83.97,14.22
2005-05-05,Gilgit,13.91,84.64,13.91
2005-05-06,Gilgit,15.33,74.05,15.33
2005-05-07,Gilgit,16.07,69.42,16.07
2005-05-08,Gilgit,16.47,78.31,16.47
2005-05-09,Gilgit,14.33,89.15,14.33
2005-05-10,Gilgit,13.3,81.9,13.3
2005-05-11,Gilgit,14.879999999999999,76.27,14.879999999999999
2005-05-12,Gilgit,14.47,64.63,14.47
2005-05-13,Gilgit,15.9,59.14,15.9
2005-05-14,Gilgit,15.54,66.87,15.54
2005-05-15,Gilgit,16.1,65.52,16.1
2005-05-16,Gilgit,15.4,85.49,15.4
2005-05-17,Gilgit,16.19,71.51,16.19
2005-05-18,Gilgit,15.16,77.98,15.16
2005-05-19,Gilgit,15.54,79.75,15.54
2005-05-20,Gilgit,15.59,78.32,15.59
2005-05-21,Gilgit,15.15,83.11,15.15
2005-05-22,Gilgit,15.06,78.71,15.06
2005-05-23,Gilgit,14.41,90.68,14.41
2005-05-24,Gilgit,15.7,75.68,15.7
2005-05-25,Gilgit,15.58,82.44,15.58
2005-05-26,Gilgit,14.68,84.01,14.68
2005-05-27,Gilgit,16.0,69.83,16.0
2005-05-28,Gilgit,16.86,61.91,16.86
2005-05-29,Gilgit,16.38,80.38,16.38
2005-05-30,Gilgit,17.490000000000002,76.79,17.490000000000002
2005-05-31,Gilgit,18.23,68.5,18.23
2005-06-01,Gilgit,16.83,73.08,16.83
2005-06-02,Gilgit,16.1,73.06,16.1
2005-06-03,Gilgit,17.65,63.89,17.65
2005-06-04,Gilgit,17.94,66.58,17.94
2005-06-05,Gilgit,19.03,70.08,19.03
2005-06-06,Gilgit,17.71,70.68,17.71
2005-06-07,Gilgit,17.18,70.8,17.18
2005-06-08,Gilgit,18.0,69.63,18.0
2005-06-09,Gilgit,18.19,66.8,18.19
2005-06-10,Gilgit,18.509999999999998,68.3,18.509999999999998
2005-06-11,Gilgit,20.02,78.42,20.02
2005-06-12,Gilgit,20.83,75.28,20.83
2005-06-13,Gilgit,21.33,76.97,21.33
2005-06-14,Gilgit,22.17,73.39,22.17
2005-06-15,Gilgit,22.6,69.9,22.6
2005-06-16,Gilgit,23.96,57.89,23.96
2005-06-17,Gilgit,26.060000000000002,55.54,26.060000000000002
2005-06-18,Gilgit,24.45,73.61,24.45
2005-06-19,Gilgit,24.310000000000002,77.23,24.310000000000002
2005-06-20,Gilgit,26.130000000000003,64.94,26.130000000000003
2005-06-21,Gilgit,27.51,65.99,29.33
2005-06-22,Gilgit,29.21,53.53,30.41
2005-06-23,Gilgit,30.97,38.11,30.61
2005-06-24,Gilgit,32.14,40.81,32.63
2005-06-25,Gilgit,32.269999999999996,47.25,34.2
2005-06-26,Gilgit,32.42,40.45,32.98
2005-06-27,Gilgit,30.76,38.67,30.43
2005-06-28,Gilgit,32.86,39.78,33.52
2005-06-29,Gilgit,32.57,48.13,34.95
2005-06-30,Gilgit,30.35,55.26,32.54
2005-07-01,Gilgit,29.01,64.81,31.83
2005-07-02,Gilgit,26.560000000000002,79.24,26.560000000000002
2005-07-03,Gilgit,25.36,80.05,25.36
2005-07-04,Gilgit,26.97,71.98,28.97
2005-07-05,Gilgit,27.29,74.61,29.82
2005-07-06,Gilgit,28.24,71.84,31.41
2005-07-07,Gilgit,29.36,73.55,34.28
2005-07-08,Gilgit,30.43,66.46,35.19
2005-07-09,Gilgit,31.91,64.77,38.35
2005-07-10,Gilgit,33.71,55.34,39.6
2005-07-11,Gilgit,33.18,61.63,40.59
2005-07-12,Gilgit,29.73,79.41,36.69
2005-07-13,Gilgit,29.16,81.65,35.57
2005-07-14,Gilgit,30.13,78.9,37.75
2005-07-15,Gilgit,29.25,78.04,34.99
2005-07-16,Gilgit,28.5,77.67,32.96
2005-07-17,Gilgit,28.52,70.12,31.73
2005-07-18,Gilgit,30.7,53.96,32.9
2005-07-19,Gilgit,31.16,59.28,35.0
2005-07-20,Gilgit,32.41,56.78,37.04
2005-07-21,Gilgit,32.129999999999995,61.36,37.81
2005-07-22,Gilgit,30.87,68.62,36.85
2005-07-23,Gilgit,28.8,74.04,33.02
2005-07-24,Gilgit,30.53,63.74,34.75
2005-07-25,Gilgit,31.17,65.0,36.57
2005-07-26,Gilgit,32.55,55.35,36.92
2005-07-27,Gilgit,32.09,62.82,38.18
2005-07-28,Gilgit,31.66,64.4,37.6
2005-07-29,Gilgit,31.86,63.63,37.86
2005-07-30,Gilgit,31.99,62.49,37.82
2005-07-31,Gilgit,32.54,56.99,37.4
2005-08-01,Gilgit,32.89,54.08,37.28
2005-08-02,Gilgit,33.18,49.06,36.38
2005-08-03,Gilgit,33.78,49.69,37.81
2005-08-04,Gilgit,33.54,56.78,39.71
2005-08-05,Gilgit,30.06,70.61,35.34
2005-08-06,Gilgit,31.33,51.82,33.57
2005-08-07,Gilgit,30.47,57.05,33.12
2005-08-08,Gilgit,28.63,68.14,31.63
2005-08-09,Gilgit,29.2,64.84,32.2
2005-08-10,Gilgit,30.62,58.26,33.66
2005-08-11,Gilgit,31.77,54.07,34.93
2005-08-12,Gilgit,31.32,58.46,35.13
2005-08-13,Gilgit,32.04,51.4,34.78
2005-08-14,Gilgit,34.69,39.76,36.58
2005-08-15,Gilgit,34.97,40.09,37.19
2005-08-16,Gilgit,31.22,64.89,36.66
2005-08-17,Gilgit,28.32,75.15,32.1
2005-08-18,Gilgit,29.51,64.05,32.67
2005-08-19,Gilgit,29.61,66.62,33.39
2005-08-20,Gilgit,29.33,65.49,32.58
2005-08-21,Gilgit,29.55,66.04,33.14
2005-08-22,Gilgit,30.39,64.47,34.61
2005-08-23,Gilgit,29.83,63.95,33.3
2005-08-24,Gilgit,29.0,63.49,31.59
2005-08-25,Gilgit,29.23,60.75,31.55
2005-08-26,Gilgit,30.49,49.35,31.68
2005-08-27,Gilgit,27.71,66.41,29.7
2005-08-28,Gilgit,25.23,74.21,25.23
2005-08-29,Gilgit,27.3,60.65,28.52
